,Words,Frequency
226,"['leben', 'Hip', 'Hop']",9
227,"['nur', 'Nacht']",13
228,"['viel', 'schön']",12
229,"['Türlich', 'türlich', 'sicher', 'Dicker']",13
230,['gehen'],18
231,['Herzbeben'],18
232,"['Isch', 'lieben', 'disch']",13
233,['Sandstorm'],15
234,"['Pokémon', 'Welt']",1
235,"['Geh', 'davon']",15
236,['Bild'],12
237,"['wollen', 'liebst']",11
238,"['Zeig', 'Gesicht']",8
239,"['geil', 'Arschloch']",13
240,"['manchmal', 'Frau']",13
241,['geh'],28
242,['Sonne'],27
243,"['gib', 'Musik']",1
244,"['nur', 'Wahrheit', 'zählen']",3
245,"['Lieb', 'icken']",10
246,"['', '', '']",17
247,['Dickes'],11
248,['Jeanny'],6
249,"['Adriano', 'letzter', 'Warnung']",11
250,['Glaub'],17
251,"['sieben', 'Brücke', 'mussen', 'gehen']",1
252,"['Schwule', 'Mädchen']",12
253,['weck'],12
254,"['Girl', 'You', 'Know', 'It', 'sn', 'True']",8
255,['Mitternacht'],16
256,['kiffen'],12
257,['zählen'],6
258,"['heute', 'passieren']",5
259,"['willst', 'hin']",14
260,"['Amnestie', 'MTV']",9
261,"['Tier', 'Wolfen']",4
262,"['Missing', 'You']",8
263,"['Herz', 'Glas']",30
264,['Cruis'],15
265,['Mensch'],21
266,['Limit'],7
267,"['Frau', 'Welt']",3
268,['Weg'],88
269,"['Steuersong', 'Las', 'Kanzler']",16
270,"['geben', 'Hanf', 'frei']",6
271,"['Abschied', 'nehmen']",12
272,"['Leuchtturm', '']",15
273,"['Sneak', 'Preview']",9
274,"['Wunder', 'geschehen']",7
275,"['kennen', 'schön']",32
276,['Fäule'],7
277,"['König', 'Deutschland']",8
278,['denk'],15
279,['Süden'],23
280,"['Going', 'Under']",6
281,['unrockbar'],7
282,['Erinnerung'],33
283,"['jung', 'brauchen', 'Geld']",12
284,['Seemann'],7
285,['Guilty'],6
286,['dankbar'],3
287,"['Schick', 'Engel']",10
288,"['Gustav', 'Gan']",6
289,['Ding'],28
290,['allein'],71
291,"['Herz', 'brechen']",15
292,['Auge'],22
293,"['Friss', 'stirb']",6
294,"['Star', 'Holen', 'hier', 'raus']",7
295,"['letzter', 'Stern']",9
296,"['gut', 'Tag', 'zählen']",2
297,['Welt'],31
298,"['Brennend', 'Liebe']",8
299,['vielleicht'],22
300,"['Breaking', 'The', 'Habit']",6
301,"['bleibst', 'immer', 'noch']",6
302,"['onkelz', 'vs', 'Jesus']",8
303,['Troy'],17
304,['Teil'],19
305,['zurück'],8
306,['Schuld'],11
307,"['Tag', 'Stunde']",6
308,['Symphonie'],22
309,"['Sag', 'meinst']",9
310,['Sommerrege'],1
311,"['Perfekt', 'Welle']",32
312,['mögen'],19
313,['Walkampf'],5
314,"['klügsen', 'Mann', 'Welt']",2
315,['Lied'],75
316,"['schwarz', 'Weiss']",28
317,"['Schnappi', 'klein', 'Krokodil']",23
318,['Spiel'],20
319,['Emanuela'],20
320,['weit'],3
321,['Lust'],3
322,"['Gekommen', 'bleiben']",9
323,['dusch'],5
324,['Geboren'],1
325,"['Schrei', 'Liebe']",33
326,"['Mach', 'Auge']",14
327,"['Mann', 'Mond']",11
328,['vermissen'],15
329,"['welch', 'Tag']",15
330,"['kosten', 'Welt']",6
331,"['nur', 'Besuch']",15
332,"['hier', 'kommen', 'Alex']",16
333,['Eisbär'],24
334,"['Robby', 'Roboter']",7
335,"['', 'Jahr']",23
336,"['lang', 'Single', 'Welt']",79
337,['Modell'],11
338,"['Leb', 'Traum']",4
339,"['Freund', 'Mann']",20
340,['Erdbeermund'],22
341,"['Never', 'Gonna', 'Say', 'Sorry']",1
342,"['', 'klein', 'Negerlein']",11
343,['Roboter'],20
344,['Leuchtturm'],13
345,"['wünschen', 'wären']",26
346,"['Slipping', 'Into', 'You']",11
347,['Idiot'],3
348,"['wollen', 'Spaß']",22
349,['Sternenhimmel'],21
350,"['einmal', 'nur', 'Erika', 'Welt', 'entfliehn']",10
351,"['Goldener', 'Reiter']",26
352,"['', '', 'Nacht', 'Zoom']",18
353,"['Faust', 'Faust', 'Schimanski']",15
354,"['Sonderzug', 'Pankow']",17
355,"['Kosmetik', 'Glück', 'Erde']",11
356,"['Tri', 'tra', 'Trullala', 'Herbergsvater']",4
357,['Blech'],17
358,"['Déjà', 'vu']",6
359,"['klein', 'Taschenlampe', 'brenn']",18
360,"['Jahr', 'gehen', 'voran']",12
361,"['Oh', 'Baby']",7
362,"['Servus', 'mach', 'guat']",9
363,['Zauberstab'],19
364,['Knutschfleck'],14
365,"['hoch', 'Berg']",14
366,"['Tretboot', 'Seenot']",9
367,"['besuchen', 'Europa', 'noch', 'stehen']",11
368,"['Computerlieb', 'Module', 'spielen', 'verrückt']",12
369,['Feuerwerk'],15
370,"['Haus', 'drei', 'Sonne']",5
371,"['weiß', 'Strand', 'Helgoland']",8
372,"['Bill', 'Haley']",7
373,"['wär', 'gern', 'blöd']",8
374,"['Bitte', 'küss']",2
375,['Deutschland'],39
376,"['Küsse', 'verbieten']",19
377,"['ganz', 'Herz']",14
378,['Wagen'],33
379,['Alkohol'],8
380,"['Kind', 'Macht']",8
381,['eisbaer'],7
382,['abgehau'],2
383,['Herzensschöner'],4
384,['Traumreis'],4
385,['atemlos'],11
386,"['sterben', 'nochmal']",17
387,['Flieger'],10
388,"['Supa', 'Richie']",30
389,"['Hexen', 'Rap']",5
390,['Energie'],10
391,['Zurück'],21
392,"['ach', 'Nase']",13
393,"['Blechbüchse', 'roll']",13
394,"['schwarz', 'Zone']",5
395,"['neu', 'Mann', 'brauchen', 'Land']",15
396,"['Schach', 'matt']",9
397,"['El', 'Lute']",16
398,"['Lass', 'Sonne', 'Herz']",7
399,"['Glocke', 'Rom']",11
400,"['Laura', 'Jane']",17
401,['irgendwann'],11
402,"['Patrona', 'Bavariae']",26
403,['Manuel'],19
404,"['bissch', 'Haushalt', 'sagen', 'Mann']",31
405,"['gehen', 'mehr']",22
406,"['Steh', 'Boden']",6
407,"['sitzen', 'selber', 'Boot']",2
408,['Pistolero'],12
409,['Klabautermann'],3
410,"['Dudelmoser', 'Alm', 'gibt', 'koa', 'Sünd']",1
411,"['Ba', 'Ba', 'Banküberfall']",11
412,['Märchenprinz'],10
413,"['heiß', 'Nacht', 'Palermo']",10
414,"['Fata', 'Morgana']",7
415,['Burli'],4
416,['Katzeklo'],15
417,['Küss'],5
418,"['Liebe', 'leben']",15
419,['Mondsong'],2
420,"['Wunder', 'gescheh']",11
421,"['ja', 'klar']",12
422,"['Bonnie', 'Clyde']",18
423,['Paradies'],15
424,['satt'],1
425,"['verliebt', 'Jung']",13
426,"['em', 'Lot']",5
427,"['Verdamp', 'lang', 'her']",19
428,"['leiben', 'egal', 'klingen']",15
429,"['Reif', 'Insel']",5
430,['mehr'],8
431,['Tanz'],13
432,['heiß'],3
433,"['Zuhause', 'Azzurro']",5
434,['Willst'],30
435,"['verlieben', 'Lehrer']",10
436,['Würfelspiel'],6
437,"['drei', 'Jahr', 'lang']",10
438,"['Geh', 'Stadt', 'heuen', 'Nacht']",5
439,"['Nacht', 'voll', 'Schatten']",11
440,"['Sehnsucht', 'unheilbar']",8
441,"['stark', 'Gefühl']",5
442,"['Stimme', 'Wind']",14
443,"['vielleicht', 'irgendwann']",8
444,"['Nimm', 'nächster', 'Zug']",16
445,"['Alkohol', 'Lösung']",1
446,['Westerland'],7
447,['Weihnachtsbaum'],2
448,"['Sesam', 'Jam']",12
449,"['Vogel', 'Nacht']",5
450,['lauf'],6
451,"['Weihnachtsmann', 'Dach']",3
452,"['Chartbreaker', 'Einmal', 'Star', 'zurück']",5
453,"['Sonne', 'Nacht']",4
454,['Model'],17
455,"['ganz', 'egal']",5
456,"['Nordisch', 'By', 'Nature']",17
457,"['Samstag', 'Nacht']",16
458,['Theater'],10
459,"['soll', 'rot', 'Rose', 'regnen']",17
460,['Polizist'],17
461,['Abenteuerland'],1
462,['Gefühl'],10
463,"['Kribbel', 'Bauch']",18
464,['Aurélie'],1
465,"['süß', 'Traube', 'hängen', 'hoch']",14
466,['Pan'],13
467,"['gerade', 'noch', 'fehlen']",7
468,"['FKK', 'Everybody', 'Free', 'To', 'Wear', 'gar']",7
469,['gut'],26
470,['Gnubbel'],9
471,"['JR', 'Bruder']",4
472,"['Bodo', 'Bagger']",6
473,"['Paß', 'gut', 'Kind']",5
474,['Feierabend'],16
475,"['Schwarzes', 'Gold']",19
476,"['Denk', 'doch', 'mal']",5
477,"['Papa', 'schon', 'richten']",14
478,"['Good', 'Bye', 'My', 'Love', 'Verzeih', 'My']",1
479,['bitte'],2
480,['passieren'],5
481,"['manchmal', 'Tag', 'ganz', 'Leben']",1
482,"['Bau', 'Schloß']",9
483,"['klein', 'See']",10
484,['Lena'],1
485,"['Hör', 'gut']",12
486,['Indianer'],1
487,['Partyhitmix'],11
488,"['immer', 'noch']",3
489,['Walzer'],1
490,"['Baby', 'Frisör']",1
491,['Mutter'],12
492,['Alive'],14
493,"['können', 'Anfang']",9
494,['sag'],8
495,"['Don', 'Wanna', 'Get', 'Hurt']",10
496,"['Roboter', '']",8
497,"['Fall', 'With', 'Me']",2
498,"['Liebst', 'liebst']",6
499,['Traum'],43
500,['ändern'],2
501,"['', 'Mal']",4
502,['Spieler'],10
503,"['Kuddel', 'Daddel']",1
504,"['Aloha', 'heja', 'He']",23
505,"['Fischer', 'San', 'Juan']",20
506,['sonst'],10
507,"['blau', 'Planet']",27
508,"['Fang', 'Licht']",13
509,"['Frankreich', 'Frankreich']",12
510,['Katrin'],9
511,['Wahnsinn'],4
512,"['Tanzt', 'Brot']",3
513,"['Hungrig', 'Herz']",10
514,['Denkmal'],18
515,['tun'],5
516,"['Take', 'It', 'Easy', 'alt', 'Haus']",12
517,"['CB', 'Funker']",12
518,"['immer', 'Josy', 'seh']",17
519,"['Legende', 'Babylon']",21
520,"['ziehn', 'heuen', 'abend', 'Dach']",16
521,"['Bora', 'Bora']",26
522,"['wieder', 'frei']",19
523,"['frei', 'abgebrannen']",12
524,"['denk', 'noch', 'oft', 'Marianne']",2
525,"['nachts', 'Schläft']",23
526,"['Träne', 'mehr']",11
527,"['wär', 'gern']",13
528,['Herbert'],20
529,"['Mama', 'Lorraine']",33
530,"['gib', 'bitte', 'Kuß']",7
531,"['Laß', 'Knie', 'Joe']",12
532,"['Babi', '', 'ka']",16
533,['Monotonie'],11
534,"['zärtlich', 'Mann']",12
535,"['wünsch', 'Hölle', 'Erde', 'heuen', 'gehst']",21
536,"['Teufel', 'jung', 'Mann']",16
537,"['Midnight', 'Lady', 'einsam']",7
538,"['Heirat', 'doch', 'Büro']",7
539,"['weißen', 'hingehst']",3
540,"['Leb', 'wohl']",12
541,"['ganz', 'gar']",6
542,"['Volldampf', 'Radio']",4
543,"['möchen', 'gern', 'Dave', 'Dudley', 'hör']",16
544,['brauchst'],12
545,['Uschi'],7
546,"['Himmel', 'brennen']",13
547,"['Fred', 'Jupiter']",16
548,"['Wissenswertes', 'Erlangen']",2
549,"['Karl', 'Käfer']",9
550,"['Anna', 'Lassmichrein', 'lassmichraus']",19
551,['taxi'],16
552,"['Lied', 'La', 'Le', 'Lu']",18
553,"['doch', 'leiben']",14
554,"['Märchen', 'Rhodos']",11
555,"['Lang', 'scho', 'Nimmer', 'sehn']",8
556,"['Hes', 'kommen']",10
557,['Joana'],10
558,['Monopoli'],3
559,"['Tuut', 'Tuut']",12
560,"['irgendwo', 'geben']",4
561,"['Bye', 'Bye', 'My']",14
562,"['gut', 'Morgen', 'lieb', 'Sorge']",19
563,['Freisein'],11
564,['herzilein'],41
565,"['alt', 'Lied']",2
566,['Fort'],3
567,"['Sex', 'Macht']",1
568,"['niemals', 'gehen', 'ganz']",8
569,"['ganz', 'Leben', 'Quiz']",19
570,['Hurz'],14
571,"['Ende', 'Welt']",9
572,"['Ladies', 'Gentlemen']",5
573,"['Lebt', 'alt', 'Holzmichl', 'noch']",54
574,"['weiß', 'Taube', 'müde']",20
575,"['alt', 'Mann', 'Meer']",2
576,"['Till', 'Joe']",1
577,['Hamster'],26
578,"['Goethe', 'gut']",19
579,"['Herz', 'Kind']",19
580,['schaffst'],16
581,"['Freu', 'bloß', 'früh']",18
582,"['nie', 'mehr', 'allein']",22
583,"['Tanze', 'Samba']",21
584,"['Liebe', 'vieler', 'Träne', 'wert']",9
585,"['Lieb', 'letzter', 'Mal']",30
586,"['Samstag', 'abend']",27
587,"['je', 'Liebe', 'verli']",18
588,"['Gaby', 'warten', 'Park']",6
589,['Geh'],12
590,"['noch', 'geben']",19
591,['Eloisa'],18
592,"['Shine', 'On', 'Regen', 'New', 'York']",8
593,['Leben'],52
594,"['wär', 'liabsten', 'ganz', 'alloa']",3
595,['Ibiza'],4
596,"['Mädchen', 'Mädchen']",7
597,"['Herz', 'Herz', 'Gefühl']",6
598,"['Laß', 'allein']",6
599,['Mexico'],13
600,"['rot', 'Sonne', 'Barbados']",8
601,['Horizont'],13
602,"['Maria', 'Maria']",12
603,"['Überdosis', 'Glück']",4
604,"['blond', 'Hans']",15
605,['wiederseh'],13
606,"['geben', 'nächster', 'Mal']",11
607,"['St', 'Tropez']",4
608,"['leiben', 'überhaupt', 'mehr']",10
609,"['Schatten', 'Wand']",8
610,['Kuh'],7
611,['Marlene'],4
612,"['Mark', 'Charly']",15
613,"['Träne', 'passen']",2
614,['Kompliment'],37
615,"['Good', 'Morning', 'Judge']",12
616,['Mann'],13
617,['Verdient'],3
618,"['Maschine', 'brennen']",14
619,"['pur', 'Lust', 'Leben']",4
620,['Eiszeit'],23
621,['wollen'],38
622,['Manta'],13
623,"['', '', 'Meile']",7
624,"['bitte', 'bitte']",11
625,"['Höha', 'Schnella', 'Weita']",8
626,['Picknicker'],4
627,"['manchmal', 'möchten', 'schon']",21
628,['Titanic'],2
629,['Stunde'],21
630,"['Far', 'Away', 'America']",1
631,['Sternraketen'],4
632,"['tun', 'immer', 'noch', 'weh']",6
633,"['Strada', 'del', 'Sole']",9
634,['Tropfen'],1
635,"['Schlumpfen', 'Cowboy', 'Joe']",14
636,"['wollen', 'mehr']",1
637,"['Grund', 'Panik']",1
638,"['Himbeereis', 'Frühstück']",19
639,"['Military', 'Drum']",5
640,"['Hartreim', 'Saga']",1
641,['Hammerhart'],3
642,"['genug', 'genug']",4
643,['Liebesschmerz'],7
644,['Rosanna'],1
645,['Sexy'],8
646,"['gehen', 'gut']",10
647,['Terpentin'],9
648,"['Japanese', 'Boy']",10
649,"['tanzen', 'Lambada']",1
650,"['Tina', 'weg']",2
651,['Rose'],8
652,['Lampenfieber'],6
653,"['Lied', 'Stümper']",4
654,['willkommen'],10
655,"['wollen', 'verlieben']",5
656,"['kommn', 'weiter']",5
657,"['Brücke', 'geh']",4
658,"['Lied', 'Freund']",3
659,"['Make', 'All', 'Bounce']",12
660,"['immer', 'noch', 'verrückt']",7
661,"['Siehst', 'genauso']",3
662,['Roque'],6
663,"['', 'Wahl']",1
664,"['stehen', 'gut']",4
665,"['schön', 'sowieso']",1
666,"['Ruf', 'erst', 'ruinieren']",6
667,['zusammenleben'],12
668,['Krieg'],37
669,['Verfall'],3
670,"['weiß', 'Strand', 'San', 'Angelo']",5
671,"['mal', 'wieder', 'richtig', 'Sommer']",7
672,"['können', 'Frömmste', 'Frieden', 'leben']",1
673,"['ja', 'ja', 'Katja', 'ja']",2
674,['Eiermann'],11
675,"['Maat', 'et', 'Joot']",2
676,['Wat'],6
677,"['Tarzan', 'wieder']",18
678,"['Resi', 'hol', 'Di', 'mei', 'Traktor']",4
679,"['blond', 'Hans', 'Bundesbahn']",4
680,"['Amore', 'mio']",27
681,"['zeigen', 'Paradies']",23
682,"['Gianna', 'Liebe', 'Auto']",19
683,['brauchen'],24
684,['Marlee'],21
685,"['Liebe', 'setzen']",7
686,"['Peter', 'Pan']",1
687,"['Gefühl', 'frei']",5
688,['Felicita'],10
689,"['gehen', 'voll']",4
690,['Nessaja'],14
691,"['Germany', 'Calling']",18
692,['immer'],19
693,"['lang', 'Reise', 'Nacht']",8
694,"['Mama', 'Leone', 'deutsch', 'Version']",22
695,['Block'],18
696,['Bleib'],2
697,"['Goldenes', 'Handwerk']",1
698,['spät'],7
699,"['möchen', 'Knopf', 'Bluse']",7
700,"['Papa', 'trinken', 'Bier']",15
701,"['sagen', 'gehst']",3
702,"['', '', 'Lovesong']",3
703,['Rebell'],2
704,"['Demo', 'Letzter', 'Tag']",7
705,"['Gott', 'tanzen']",11
706,"['Olli', 'Kahn']",4
707,"['Frohes', 'Fest']",6
708,"['Liebe', 'kleben']",13
709,['Vollmond'],15
710,['Baby'],10
711,"['Radio', 'brennen']",1
712,['Halt'],4
713,"['Lied', 'Liebe', 'schreiben']",12
714,"['weit', 'Morgen']",4
715,"['sieben', 'Fässer', 'Wein']",22
716,"['Mama', 'stolz']",9
717,"['Komm', 'zurück']",1
718,"['Name', 'Mensch']",1
719,"['Indian', 'Lady']",2
720,"['nur', 'Stein', 'leben', 'lang']",1
721,['Heimat'],4
722,"['sagen', 'einmal']",20
723,"['wollen', 'Morgen', 'erleben']",5
724,"['morgen', 'früh', 'geh']",9
725,['Lisa'],5
726,['oben'],11
727,"['Tante', 'Emma']",4
728,"['Mond', 'Sonne', 'berühren']",2
729,"['Sad', 'But', 'True']",4
730,"['allein', 'Griechenland']",1
731,"['Blume', 'weinen', 'können']",2
732,['glücklich'],9
733,['OK'],4
734,"['können', 'eur', 'Welt']",4
735,['Perlentaucher'],1
736,['Nacht'],25
737,['Luxus'],5
738,"['Liebe', 'Live']",4
739,"['Girl', '', 'Day']",9
740,"['geschehen', 'nie', 'spät']",11
741,['schläfst'],7
742,['Friedenspanzer'],5
743,['Quark'],3
744,['Elke'],1
745,"['Yoko', 'Ono']",1
746,"['rock', 'Roll', 'Übermensch']",1
747,"['trennen', 'Leben']",3
748,['Vorsprechtermin'],5
749,['Tanzpirator'],9
750,"['Geld', 'Liebe']",1
751,"['Airport', 'wiedersehn']",1
752,"['Sommernacht', 'Rom']",11
753,"['lieb', 'Mann']",18
754,"['Herz', 'nie', 'mehr', 'vergissen']",9
755,['Haus'],8
756,"['nehm', 'Arm']",1
757,"['Fremde', 'Erde']",7
758,"['sieben', 'Tag']",3
759,"['segnen', 'seien']",12
760,"['Optik', 'Anthem']",1
761,"['schon', 'Kind']",1
762,"['Frage', 'niemals']",1
763,"['Tanz', 'Rehakles']",3
764,"['bayrisch', 'Cowgirl']",4
765,"['lieben', 'Leben']",3
766,"['Gehn', 'Ägypter']",2
767,"['Früh', 'stück']",3
768,"['Punker', 'Maria']",8
769,"['when', 'You', 'Are', 'Here']",2
770,['Weihnachtssong'],4
771,['Unkraut'],7
772,"['Spiel', 'Leben']",3
773,"['What', 'You', 'Deserve', 'Is', 'What', 'You', 'Get']",1
774,"['Mexican', 'Girl']",2
775,['Tief'],9
776,"['Karneval', 'Nacht']",2
777,"['klein', 'Schwalbe', 'Heimkehr', 'nie', 'spät']",3
778,"['liegen', 'wieder', 'arme', 'Barbara']",11
779,['Schmerz'],5
780,"['ganz', 'Sommer']",7
781,['sollen'],21
782,"['ja', 'mei', 'derf', 'doch', 'net']",5
783,"['Ende', 'nur', 'Wurst', 'zwei', 'Krause', 'Ruth']",8
784,"['Angst', 'Papa', 'sagen', 'Angst', 'Mama', 'sagen']",15
785,"['Oh', 'Susi', 'zensiert', 'Song']",28
786,"['Verliebe', 'verlieren']",7
787,"['wollen', 'nochmal']",1
788,"['Rut', 'sin', 'de', 'Ruse']",7
789,"['Känguru', 'Dance']",9
790,"['Quietsche', 'Entchen']",9
791,"['Fuchs', 'gehen', 'Wald']",2
792,"['Major', 'Tom', '']",10
